itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
136340,6,KBSTAR 중기우량회사채,102475,5,-205,-0.2,102438.0,-0.9216,5,0,461
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),9935,2,65,0.66,9812.0,-1.3987,773,7,447
368190,2,HANARO Fn K-뉴딜디지털플러스,8755,2,90,1.04,8763.0,-7.8094,23,0,447
123320,3,TIGER 레버리지,17425,2,115,0.66,17435.0,-12.3101,12681,222,436
418660,4,TIGER 미국나스닥100레버리지(합성),8870,2,390,4.6,8795.0,,438246,3887,430
269540,4,ARIRANG 미국S&P500(H),17125,2,260,1.54,17070.0,-9.1815,1792,30,428
300640,2,KBSTAR 게임테마,12930,2,150,1.17,12957.0,-21.4699,3278,42,427
365000,2,TIGER KRX인터넷K-뉴딜,6800,2,105,1.57,6811.0,-24.2133,1322,9,418
225800,7,KOSEF 미국달러선물레버리지,11070,5,-140,-1.25,11091.0,14.2711,242,2,417
137610,5,TIGER 농산물선물Enhanced(H),9185,2,160,1.77,9163.0,25.0,33349,306,413
